Job Interview ID,JD
JD14301,"Senior Backend Engineer (Java 17, Spring Boot 3, Microservices)"
JD14302,"Frontend Developer (React.js, Redux, Tailwind)"
JD14303,"Data Engineer (Python, Airflow, Snowflake)"
JD14304,"Angular Developer (Angular 15+, TypeScript, RxJS)"
JD14305,"Cloud Architect (Target: High). AWS, Terraform, Serverless."
JD14306,"Cloud Support Engineer (AWS Console, IAM, EC2)"
JD14307,"SDET (Target: Moderate). Pytest, Appium, CI/CD."
JD14308,"Junior UI Engineer (HTML5, CSS3, JS)"
JD14309,"Cloud Engineer (AWS, EC2, S3, VPC)"
JD14310,"Data Scientist (ML, Python, scikit-learn)"
JD14311,"DevOps Engineer (Jenkins, CI/CD, Docker)"
JD14312,"Security Engineer (Target: High). OAuth2, PKCE, Mobile."
JD14313,"Project Manager (Target: Low). Agile, Jira, Financials."
JD14314,"DB Admin (Target: Moderate). Sharding, PostgreSQL."
JD14315,"iOS Developer (Swift, UIKit, CoreData)"
JD14316,"C++ Developer (Target: High). Concurrency, Low-Latency."